X1,X2,X3,X4,X5,X6,X7,speaker
-12.7800048976393,-11.9696670693615,-18.3043302750297,62.0266613336816,-9.88233171167053,0.744392094121745,0,M1
-12.7407712421502,-11.9610030147691,-18.2841123246373,62.0340634951731,-9.91493099770355,0.761997872247799,0,M1
-12.7004553860876,-11.952564329425,-18.2628829514483,62.0416080315912,-9.94756344647225,0.77928146939926,0,M1
-12.6590573294516,-11.9443510133292,-18.2406421554628,62.049294942936,-9.98022905797662,0.796242885576129,0,M1
-12.6165770722422,-11.9363630664816,-18.2173899366806,62.0571242292073,-10.0129278322167,0.812882120778404,0,M1
-12.5730146144593,-11.9286004888822,-18.1931262951018,62.0650958904053,-10.0456597691924,0.829199175006086,0,M1
-12.5283699561031,-11.9210632805311,-18.1678512307265,62.0732099265299,-10.0784248689038,0.845194048259175,0,M1
-12.4826430971734,-11.9137514414283,-18.1415647435545,62.0814663375811,-10.1112231313508,0.860866740537671,0,M1
-12.4358340376704,-11.9066649715737,-18.1142668335859,62.089865123559,-10.1440545565336,0.876217251841574,0,M1
-12.3879427775939,-11.8998038709674,-18.0859575008208,62.0984062844634,-10.176919144452,0.891245582170885,0,M1
-12.3389693169439,-11.8931681396093,-18.056636745259,62.1070898202945,-10.2098168951061,0.905951731525602,0,M1
-12.2889136557206,-11.8867577774995,-18.0263045669006,62.1159157310522,-10.2427478084958,0.920335699905726,0,M1
-12.2377757939239,-11.8805727846379,-17.9949609657456,62.1248840167366,-10.2757118846213,0.934397487311257,0,M1
-12.1855557315537,-11.8746131610246,-17.962605941794,62.1339946773475,-10.3087091234824,0.948137093742195,0,M1
-12.1322534686101,-11.8688789066595,-17.9292394950458,62.1432477128851,-10.3417395250792,0.96155451919854,0,M1
-12.0778690050931,-11.8633700215427,-17.894861625501,62.1526431233493,-10.3748030894116,0.974649763680292,0,M1
-12.0224023410027,-11.8580865056742,-17.8594723331596,62.1621809087401,-10.4078998164797,0.98742282718745,0,M1
-11.9658534763389,-11.8530283590539,-17.8230716180216,62.1718610690575,-10.4410297062835,0.999873709720016,0,M1
-11.9082224111016,-11.8481955816818,-17.785659480087,62.1816836043016,-10.474192758823,1.01200241127799,0,M1
